id,quality
5691,6
3011,7
6053,7
4331,6
5723,6
1847,6
4021,5
4493,6
2065,5
1265,6
5187,5
2181,5
917,6
4699,5
284,6
1980,6
3045,5
3627,7
1999,7
6071,7
525,7
4814,6
1941,4
4813,7
5978,5
4685,5
1447,5
1717,5
4188,6
3385,5
2699,5
1889,6
3467,5
6004,5
2803,5
1141,6
2374,5
3082,5
3656,6
1001,7
4429,5
2262,7
6256,5
4200,7
2347,7
5935,6
3732,7
1619,5
6210,5
5011,8
4336,7
2257,6
2325,7
3563,6
2675,6
952,6
6284,6
312,6
2526,5
2529,6
4857,6
4578,6
5007,5
103,5
1154,6
122,6
4862,6
5299,6
5508,6
6224,7
2763,7
6339,6
595,5
424,5
233,7
6316,6
5756,5
1868,6
229,5
2500,5
4523,5
1776,6
2579,7
5712,5
3763,8
2635,5
6306,5
3574,6
3345,6
2229,6
293,7
4794,6
2723,6
1587,3
5806,6
5131,5
4321,5
5877,6
1032,8
3745,7
4508,6
5548,6
6338,6
5882,5
739,6
5043,5
1610,6
3352,6
3488,5
1245,6
5792,6
3541,7
1537,9
3188,6
6308,6
3688,5
1659,5
5493,6
4770,6
1106,7
195,5
3128,6
5985,6
5573,5
4544,7
1178,6
3351,7
3199,6
1039,7
4908,6
391,5
3314,6
2712,6
5024,5
4326,5
5602,6
643,5
1011,6
3507,6
5765,5
1560,6
4430,6
4420,7
1368,5
993,6
4741,6
123,5
2597,5
1794,6
2203,7
1579,5
2750,6
6223,6
4273,6
3554,5
4159,7
1504,6
3153,5
3086,6
616,5
1103,7
710,7
2812,6
3844,5
303,5
6300,6
289,5
6081,5
2009,5
76,5
2677,7
3569,6
5398,5
1567,5
2431,5
2375,3
3879,6
4323,7
2706,5
757,8
4091,5
1729,4
1700,6
4510,7
4141,5
4262,6
410,6
5801,5
5079,7
170,6
2264,4
983,6
3594,5
1593,6
732,5
394,6
1785,6
1200,5
5217,6
4488,6
3572,8
1029,6
184,6
5139,5
2064,6
4979,5
6126,6
1137,7
5002,6
2317,6
3081,4
459,6
1159,6
4865,5
4383,6
2777,6
2697,5
3229,5
2293,5
3800,6
1809,5
262,6
892,7
6325,5
2419,7
2876,6
165,5
5243,8
5706,6
1744,6
4832,5
306,6
5855,6
4195,6
3146,5
1738,6
4933,5
1620,6
6082,7
10,6
1670,5
3907,5
5083,7
6313,5
1477,6
5815,5
1778,5
140,6
230,5
5212,5
6443,6
3195,6
1694,5
5574,6
4161,7
4426,5
3748,6
4593,6
1685,5
5798,6
561,5
1316,6
2160,7
2891,5
4976,5
3576,6
400,6
5165,5
966,5
512,5
2240,7
1544,6
1819,5
3841,7
577,7
4592,6
4707,6
3073,6
2173,7
2102,6
4390,5
6278,7
153,5
23,5
3528,5
6364,6
4367,5
2117,7
1208,5
1873,7
5420,7
5092,5
5063,6
1430,6
3707,6
1314,6
1110,6
3946,5
984,6
1231,7
1934,5
4657,5
1796,5
5190,7
3311,6
848,5
6369,6
1990,7
3916,6
709,7
3178,7
2128,5
4524,7
5618,6
4509,6
4362,4
5143,5
1805,6
3175,6
4355,6
311,6
5676,7
1633,7
296,5
5294,5
124,7
5515,5
1931,6
4070,6
6334,5
373,6
5741,5
1634,6
979,6
4183,6
926,6
2116,5
5016,6
2263,5
2202,6
1939,5
885,6
647,6
6375,4
2053,6
5890,7
3063,6
4885,5
1828,6
981,5
6106,5
3764,5
826,5
565,6
665,5
2154,5
3561,5
2060,6
5646,5
3032,5
3917,6
423,6
5578,5
51,6
5449,7
3619,6
6428,7
5975,5
3254,6
6011,6
3233,6
2269,5
5429,7
4562,7
4487,7
4557,6
29,6
4618,5
776,6
2570,6
1488,5
6287,6
5328,5
5661,6
4978,7
466,5
5807,5
5059,6
5470,5
4205,4
40,3
1091,5
1043,6
644,6
3782,5
34,7
2400,5
3463,5
5604,5
6470,7
4047,6
1699,5
1050,6
5685,6
1166,5
95,7
5679,5
725,6
6389,6
4139,5
6016,7
5840,5
4264,6
4619,6
3477,6
5267,6
819,5
2688,5
2444,7
3133,6
1480,6
2832,6
507,5
4368,7
727,8
3959,5
4913,6
6165,6
4281,5
942,5
3987,6
3465,7
4919,7
2609,7
3235,5
4123,6
1184,7
705,5
799,5
759,7
4369,5
5057,5
2310,6
5481,5
4646,6
4697,7
5237,7
1431,6
903,8
4044,5
2604,5
3540,6
567,6
5488,6
946,6
6303,6
6116,6
4911,6
3333,6
2749,5
429,6
1740,5
5013,6
4190,6
336,5
1792,7
6164,7
3714,5
2062,6
6475,6
2216,6
2817,5
3492,5
4858,5
4027,6
4282,5
5921,6
6217,5
4385,7
2109,5
5932,6
5456,7
1495,6
1365,5
794,5
350,7
3334,4
816,6
6463,5
6394,7
2628,6
5082,7
5144,5
4796,6
3818,6
2357,5
2846,6
4104,6
6041,6
831,6
194,6
6012,6
3718,6
406,6
4636,5
6330,5
328,5
1890,5
4348,6
446,5
947,7
2835,6
4918,6
4130,6
5866,6
1310,5
5740,7
496,5
2724,5
2288,5
3915,5
2957,5
3451,6
3553,6
3217,6
1604,8
386,5
723,5
210,6
1974,5
1379,7
4927,7
3430,5
3400,6
343,5
1558,5
2639,6
3678,6
6497,7
5528,6
3930,6
3126,6
5853,8
454,6
3653,7
4441,5
204,6
3760,5
614,6
645,6
193,6
1962,6
1351,6
2134,6
795,5
5977,7
6010,5
3003,6
2649,6
756,7
4209,6
5108,8
5625,5
1251,5
1690,7
5867,5
2511,5
4270,5
5147,5
3573,6
4910,6
882,6
4791,7
4703,5
412,6
1367,5
3980,5
1795,7
3982,6
6104,5
4363,6
6469,4
420,6
5451,5
3160,6
119,6
5611,7
3587,5
217,4
1238,5
4514,5
1797,5
6448,5
2421,6
5702,6
3775,5
5892,6
5582,5
5116,7
1389,6
822,7
1652,6
3766,5
5302,5
1764,6
251,6
2700,6
6362,6
4053,7
1657,6
2113,7
2743,5
3115,6
3021,6
6456,6
5869,6
5972,7
4935,5
2927,7
6132,6
3251,6
6377,7
6482,5
6321,6
115,6
3816,6
4007,7
5112,5
5547,5
5086,4
4427,5
4776,6
1555,7
1207,6
2175,8
5428,5
4551,7
607,5
2696,5
1399,5
3830,7
5406,5
4140,5
5791,6
6485,5
3699,6
1715,7
1716,6
1225,7
320,7
5459,6
1875,6
4654,6
4844,5
172,6
6380,7
3026,6
4212,6
867,6
260,6
765,6
2040,6
2651,7
6406,5
873,6
241,4
6108,6
5435,6
2572,5
1872,5
2405,7
3059,6
3837,5
3869,6
3047,6
436,5
3267,5
1192,5
3353,6
2177,6
659,7
4263,5
5378,5
6146,7
1415,6
5053,5
3850,5
4756,5
198,6
5227,5
3964,5
5572,3
5621,5
2454,5
4311,5
2673,7
1396,7
5085,5
3880,7
5476,7
3979,6
4906,6
383,6
4985,8
2450,7
4010,6
2129,6
4734,6
1535,6
3647,6
371,5
4764,5
1248,7
5155,6
6073,7
1910,6
1754,6
4293,5
1445,6
827,6
1,5
1977,6
5461,5
2661,6
876,5
4052,7
1191,5
2885,6
3213,6
4881,7
6357,5
5517,5
2335,4
4125,6
6460,6
4612,6
3721,5
3034,6
523,6
4449,7
1239,6
4588,5
4879,6
4490,6
1637,5
497,6
2407,6
4767,6
2162,6
5509,5
2354,5
4136,5
3814,6
2161,7
5450,6
3723,6
2322,5
6175,5
3424,5
2201,7
3518,6
4218,6
728,5
3774,6
2294,6
639,6
4099,6
1825,7
443,6
2344,5
1012,5
2238,5
5898,5
3726,5
6208,5
5939,6
1687,5
2123,6
4735,5
2728,5
2228,5
1800,5
3621,5
5820,6
2776,6
1743,6
5571,7
5032,5
4867,5
472,5
4973,6
6170,6
5683,5
4617,7
3725,7
5010,5
2731,5
3897,7
1978,6
6135,6
5953,6
2144,7
5438,5
5505,6
899,6
4101,7
5354,5
5445,5
6070,7
1590,6
5779,6
4788,5
5697,5
2994,7
4670,5
5881,5
860,6
2440,8
6216,6
4812,6
1662,6
5502,6
3216,5
5601,7
1356,6
1398,6
3797,5
4768,5
1644,6
3871,7
6348,7
2165,5
1530,7
1894,5
5500,6
3392,6
5984,6
3386,7
4059,6
6426,6
5479,8
432,5
5826,6
5178,6
151,5
959,6
6354,6
5753,6
3441,5
6043,6
6252,7
2251,6
5124,5
2363,6
3197,7
5822,5
2695,5
4987,6
803,5
2909,5
3998,7
4359,6
2714,6
862,6
1339,8
4116,5
4223,6
5478,8
3359,6
1193,6
3391,6
5344,5
5643,6
384,5
5948,6
5651,4
6322,6
2687,7
812,7
3163,5
1450,5
3092,6
2295,7
3908,6
4923,5
1241,5
3538,5
2070,6
6387,6
6013,7
2864,7
5360,6
1179,6
215,6
5214,5
4543,7
2554,5
418,6
2014,6
1371,5
5307,5
711,5
5153,6
5070,6
3604,6
784,5
5718,7
5693,6
4186,5
4071,7
6241,5
1063,6
3189,7
4013,5
3645,6
1130,6
1975,6
5633,5
3072,6
3641,5
2856,6
2751,6
2698,6
1026,5
5754,7
4511,6
4287,6
2098,6
769,6
1024,6
1599,6
3602,5
3110,6
388,6
4782,5
676,6
1770,6
434,6
872,7
1782,6
2512,7
4176,7
5530,5
2974,5
1300,5
4411,7
2481,6
1293,5
824,5
5905,6
3331,6
1483,6
1328,5
5819,6
3550,5
988,6
719,6
5996,6
5152,6
3468,6
3431,6
3275,5
3136,5
5968,5
5955,6
1543,5
1052,3
633,6
4797,5
2607,5
6092,6
5250,6
2875,6
5667,5
3650,5
1592,5
611,6
6194,6
2616,5
107,6
641,5
1603,7
6410,5
2112,5
1186,6
5322,5
4892,7
2225,7
2080,5
3654,6
4495,5
6407,6
2284,8
6007,5
6437,6
2460,6
5409,7
1720,6
453,6
2624,6
4137,5
4573,6
4957,7
4318,6
504,6
498,6
695,6
2381,5
3884,5
5119,5
621,6
2806,6
5637,5
158,5
4015,6
2313,5
5225,8
4737,6
1276,7
2250,4
3043,6
1037,6
6429,7
4963,7
5818,6
4110,7
2057,6
4675,6
3910,6
457,7
4997,5
2780,6
835,6
2035,5
3358,5
5216,6
236,5
3686,5
377,6
4680,5
1244,6
503,6
3029,6
4747,7
1209,5
1612,7
4826,7
5989,6
1983,6
881,5
1752,6
5722,6
5590,5
2425,5
4201,7
563,6
131,5
2632,6
735,6
2745,5
5727,6
3933,6
1937,6
5268,6
1460,5
3290,5
2880,6
1369,7
6445,6
1628,6
396,6
2895,5
3691,5
4405,7
4834,5
3305,5
3976,6
2327,6
5956,6
2716,6
2839,6
3608,6
3694,5
1712,7
5326,5
608,7
911,8
4755,6
1298,6
3117,5
5390,5
3785,5
4237,5
1893,7
1701,7
152,6
4269,5
6366,9
3004,7
1837,5
904,7
1456,7
3807,7
1068,7
583,6
3697,6
5911,6
4847,6
2369,6
1418,6
3749,7
5117,6
4499,7
1663,6
6078,5
1256,4
5042,7
1971,6
3347,5
5301,5
3696,5
2079,6
1516,6
5534,7
3539,6
2934,5
5270,6
4561,5
2261,6
411,5
5220,6
6386,5
5316,6
953,7
4751,6
3274,5
3926,6
3013,5
4822,5
6442,5
3845,6
3323,5
3355,6
2962,6
2965,6
203,7
3502,5
518,5
5106,6
1710,5
5249,6
1100,5
3643,8
5065,6
2606,6
4496,7
120,5
5605,5
3191,5
2104,5
4853,5
1581,6
2664,6
1930,4
4766,5
283,6
1780,8
5135,5
3015,5
1035,6
4062,8
399,6
4008,8
3544,5
5072,5
63,5
5463,7
3111,7
5332,5
3335,5
3357,6
3791,6
464,4
704,8
338,7
2467,6
380,6
2825,6
2449,6
4718,6
2581,7
5894,5
5863,5
5846,6
1173,5
476,7
1613,6
3876,8
916,7
836,6
4781,6
1107,5
3490,5
4785,6
635,7
1677,7
1475,5
3846,5
5411,6
4789,7
483,5
4650,5
3953,5
4999,5
2199,7
1867,6
4993,7
3637,6
5991,5
3310,5
5752,6
5058,5
143,6
1965,6
555,7
4651,6
4109,5
4412,7
137,6
3182,6
6361,6
4459,5
1788,5
3220,5
5703,7
4866,6
5050,6
1414,6
2647,6
2,5
147,5
3139,6
5408,6
3769,5
742,5
1538,7
2590,7
2582,5
337,6
971,6
1385,7
4903,6
4471,6
5938,7
5933,7
3950,6
3684,6
3018,6
3261,7
3952,6
1955,6
6400,6
36,6
4733,6
5380,5
5632,6
4537,7
5920,6
6265,7
70,6
1681,6
6127,6
5028,7
3532,5
5430,5
355,6
3419,6
499,6
1600,6
1737,6
5325,7
1631,6
2502,6
4084,5
2525,7
3990,5
1967,6
2397,7
1174,6
3746,6
3958,5
2893,6
6259,6
3410,5
977,5
2560,6
4444,5
4861,5
3840,5
285,5
770,5
375,6
1869,5
2471,5
6432,7
2702,7
3415,5
5035,5
4663,5
4061,6
4346,5
5709,8
1533,5
1629,5
6000,6
817,6
2637,6
2992,6
156,5
6072,6
698,5
4713,6
5909,5
2333,5
1471,5
4350,7
4667,5
1352,7
4473,5
806,6
5969,6
736,7
1748,6
6374,6
6111,6
2296,5
2031,5
4389,6
5009,6
4226,6
1513,5
2024,6
1134,5
918,5
893,4
5768,6
1081,5
1565,5
3600,6
2520,5
2360,7
5666,6
5149,6
2058,6
2126,5
6396,7
368,6
6049,6
4665,5
2857,6
106,6
2487,6
5976,5
4649,7
3632,6
5318,6
2703,5
4991,7
4259,7
62,5
4458,5
3062,7
1005,7
5471,6
2281,5
2823,5
6242,6
2476,5
4762,5
5626,5
3354,6
1927,6
5842,5
2087,5
1624,7
1713,5
1135,6
1406,5
1683,6
4310,7
6344,6
1236,6
4111,5
2300,5
2136,6
206,6
1905,6
1830,5
2988,7
207,5
1839,6
3316,5
2717,6
6137,6
5401,5
1086,5
871,6
177,5
317,5
322,8
2176,6
4547,7
2367,5
3122,6
4108,6
1695,5
3777,6
3171,5
5878,6
4518,5
2234,5
5770,6
5376,6
5704,5
3703,5
1105,7
24,5
3443,6
1736,6
2821,5
5219,6
1482,6
3469,6
1136,5
2127,6
239,5
4414,7
482,5
3803,7
535,6
1333,6
5519,6
3557,5
6185,6
4632,6
2464,5
1709,7
1317,6
6392,8
5856,6
3750,5
786,5
5000,5
552,5
4683,6
1392,6
4575,6
3888,5
4354,6
1707,5
902,5
6494,5
307,5
5680,6
2459,7
6336,6
4277,6
190,6
1395,5
3071,5
3778,6
1230,8
3218,6
3744,7
4339,5
12,5
2969,6
4352,5
3368,6
3259,6
1331,6
3636,6
2266,6
714,5
5699,6
1205,7
5559,5
4257,5
2446,7
6014,7
2689,6
1640,6
4884,6
5558,7
2103,4
5610,6
4868,6
3408,6
1749,5
1956,5
1923,5
4504,5
2653,6
1311,6
4246,7
489,5
5804,5
4873,5
5945,5
1725,5
5320,5
5829,6
1168,7
3497,7
4249,6
3388,6
4564,6
1470,6
2382,5
637,5
3056,5
3124,6
5672,6
5561,5
3458,6
5682,5
6025,7
821,6
886,6
5814,5
3715,6
5928,6
4387,6
1708,8
2478,6
2680,6
2246,7
4272,5
3169,5
1808,6
957,5
6320,6
5564,5
6433,6
3865,5
5104,6
865,5
717,7
3713,6
5206,6
3966,6
5729,5
5356,5
693,7
4453,6
235,5
1405,5
6444,6
2894,7
617,6
540,7
5857,6
2998,7
6183,7
3407,6
4962,6
4655,7
3961,6
5259,5
6419,6
1073,5
2319,4
3145,7
1036,8
6069,5
5916,7
2385,6
3363,6
6324,6
1602,5
3401,5
1642,6
3150,5
4627,7
3780,6
5799,5
3999,5
2602,6
4901,5
1578,5
6028,7
181,6
2390,5
1928,5
6155,5
2638,7
4066,6
4982,7
5309,5
1771,6
3542,7
2461,5
4025,6
2072,6
3829,5
3435,6
318,5
1882,6
6251,7
3174,6
6399,7
5121,6
3099,5
2611,6
1092,7
5988,6
628,7
2157,7
3102,6
3440,6
1916,6
5382,7
484,6
3693,7
2377,7
4012,7
762,7
4801,5
1323,6
3436,5
4964,5
6250,7
4284,6
1171,6
2086,6
5638,6
5903,6
2153,5
4152,8
261,5
5317,4
2829,6
6130,5
6202,6
3942,6
4325,5
4527,8
228,5
6158,6
2578,6
6296,5
4576,5
5720,5
5616,6
3265,5
2094,5
3596,7
5923,5
5575,5
1341,6
2364,5
2537,6
3031,5
3228,5
1721,5
4380,6
4185,6
1669,5
556,5
1539,5
5280,6
2861,8
667,7
3516,7
5687,6
1295,6
6117,7
6418,6
347,6
5120,5
1411,7
3070,6
2676,5
2075,6
5489,8
1849,6
2910,7
4763,6
5995,5
90,5
6031,5
815,4
3373,6
785,5
272,6
3722,6
687,5
6464,6
1218,5
2646,6
5113,5
5021,5
4394,7
3806,6
4695,5
440,5
5658,5
4168,5
3631,5
6360,6
2433,5
6244,6
2941,5
3448,6
1617,6
81,7
2718,6
1911,6
4638,6
5455,5
3609,6
2299,6
1027,6
597,5
3483,6
349,7
5097,7
3379,5
282,5
6481,6
2088,5
1214,5
6093,6
3057,6
3109,6
5410,5
2493,5
1381,6
4256,6
2198,6
2858,5
5303,5
1454,7
1288,7
2530,6
39,6
1158,6
2442,6
3995,6
4836,7
3165,6
3739,5
2541,6
3300,6
3790,5
2713,8
5281,5
3989,5
6349,7
1473,6
1948,6
4035,8
5936,7
6299,7
6272,6
5477,6
2778,5
6089,6
1856,5
6247,5
6090,5
1177,6
884,4
5254,5
6358,5
1822,6
1364,6
5258,6
5562,5
5305,7
1512,5
5849,5
3096,6
1605,7
2890,5
4525,7
1572,5
1799,6
2501,5
4714,6
1202,6
1904,5
6315,6
3770,5
5313,6
1501,5
6240,6
4433,5
4606,6
1199,5
3820,7
2838,5
956,7
6420,6
5816,6
1243,5
2287,5
481,6
3374,6
1908,5
3570,6
2919,6
3089,4
359,6
4684,6
678,6
1728,5
86,5
5847,5
1588,6
243,5
6363,5
515,5
6029,6
5789,6
5714,5
4717,6
451,7
5843,7
4798,6
1563,6
703,7
2000,5
3970,6
2297,5
3252,6
4585,5
2279,6
802,5
1401,6
5425,7
4669,6
5758,5
2021,6
4463,5
4313,6
2437,6
1769,6
838,5
4279,7
779,6
167,7
348,6
3127,5
5345,7
5748,7
471,5
3487,6
2477,5
4745,6
89,5
3895,6
4648,6
4605,6
5464,6
4996,6
6246,6
4882,6
1257,7
618,6
44,6
4530,6
1761,6
4033,6
3330,5
679,6
4538,6
3077,7
3190,5
6447,6
3875,7
3992,6
264,6
992,6
2020,5
4998,7
4049,7
975,5
2111,6
5367,5
801,6
3249,5
2722,5
2519,5
5858,5
1838,6
3341,6
1827,6
2078,6
3758,7
2100,7
1272,6
5498,5
2474,6
4454,5
5612,5
4329,4
4345,6
3297,7
93,5
3152,5
4501,5
3393,5
4932,7
2271,5
602,6
1561,6
2781,5
5529,5
1626,5
3362,6
6220,6
3038,7
4975,7
4552,5
6337,6
4615,5
5148,7
4114,6
3755,6
804,5
225,6
4196,6
2314,6
6302,7
2337,6
5201,6
4151,6
2754,5
5507,5
2748,6
1000,7
5447,5
2334,5
447,6
5274,7
994,6
883,5
4623,6
367,6
